   Time             I(C0)             I(L0)             I(R0)             V0              
 8.067000000E-003 -8.748093205E+000  1.005365425E+001  8.748055344E+000  1.786061302E+002 
 8.068000000E-003 -8.731246220E+000  1.044109025E+001  8.731208394E+000  1.782621717E+002 
 8.069000000E-003 -8.714423575E+000  1.082852625E+001  8.714385783E+000  1.779187100E+002 
 8.070000000E-003 -8.697633343E+000  1.121596224E+001  8.697595586E+000  1.775759102E+002 
 8.071000000E-003 -8.680875461E+000  1.160339822E+001  8.680837738E+000  1.772337708E+002 
 8.072000000E-003 -8.664149867E+000  1.199083420E+001  8.664112178E+000  1.768922906E+002 
 8.073000000E-003 -8.647456498E+000  1.237827016E+001  8.647418843E+000  1.765514683E+002 
 8.074000000E-003 -8.630795293E+000  1.276570612E+001  8.630757672E+000  1.762113028E+002 
 8.075000000E-003 -8.614166189E+000  1.315314206E+001  8.614128602E+000  1.758717926E+002 
 8.076000000E-003 -8.597569125E+000  1.354057800E+001  8.597531571E+000  1.755329365E+002 
 8.077000000E-003 -8.581004038E+000  1.392801394E+001  8.580966519E+000  1.751947334E+002 
 8.078000000E-003 -8.564470868E+000  1.431544986E+001  8.564433382E+000  1.748571818E+002 
 8.079000000E-003 -8.547969552E+000  1.470288577E+001  8.547932100E+000  1.745202807E+002 
 8.080000000E-003 -8.531500030E+000  1.509032168E+001  8.531462612E+000  1.741840286E+002 
 8.081000000E-003 -8.515062240E+000  1.547775758E+001  8.515024855E+000  1.738484244E+002 
 8.082000000E-003 -8.498656121E+000  1.586519347E+001  8.498618770E+000  1.735134668E+002 
 8.083000000E-003 -8.482281612E+000  1.625262935E+001  8.482244294E+000  1.731791546E+002 
 8.084000000E-003 -8.465938652E+000  1.664006523E+001  8.465901368E+000  1.728454865E+002 
 8.085000000E-003 -8.449627180E+000  1.702750109E+001  8.449589929E+000  1.725124613E+002 
 8.086000000E-003 -8.433347136E+000  1.741493695E+001  8.433309918E+000  1.721800778E+002 
 8.087000000E-003 -8.417098459E+000  1.780237280E+001  8.417061274E+000  1.718483346E+002 
 8.088000000E-003 -8.400881089E+000  1.818980864E+001  8.400843937E+000  1.715172307E+002 
 8.089000000E-003 -8.384694964E+000  1.857724447E+001  8.384657846E+000  1.711867646E+002 
 8.090000000E-003 -8.368540026E+000  1.896468030E+001  8.368502941E+000  1.708569353E+002 
 8.091000000E-003 -8.352416214E+000  1.935211611E+001  8.352379161E+000  1.705277415E+002 
 8.092000000E-003 -8.336323468E+000  1.973955192E+001  8.336286448E+000  1.701991819E+002 
 8.093000000E-003 -8.320261728E+000  2.012698772E+001  8.320224741E+000  1.698712554E+002 
 8.094000000E-003 -8.304230935E+000  2.051442351E+001  8.304193980E+000  1.695439607E+002 
 8.095000000E-003 -8.288231028E+000  2.090185929E+001  8.288194106E+000  1.692172966E+002 
 8.096000000E-003 -8.272261949E+000  2.128929507E+001  8.272225060E+000  1.688912619E+002 
 8.097000000E-003 -8.256323637E+000  2.167673084E+001  8.256286781E+000  1.685658554E+002 
 8.098000000E-003  1.365578420E+001  2.190564026E+001  8.249819217E+000  1.684338093E+002 
 8.099000000E-003  1.330290340E+001  2.157858529E+001  8.275644996E+000  1.689610856E+002 
 8.100000000E-003  1.294977900E+001  2.125077603E+001  8.300960082E+000  1.694779353E+002 
 8.101000000E-003  1.259634818E+001  2.092197903E+001  8.325593848E+000  1.699808747E+002 
 8.102000000E-003  1.224263845E+001  2.059222122E+001  8.349545728E+000  1.704698922E+002 
 8.103000000E-003  1.188867730E+001  2.026152961E+001  8.372815211E+000  1.709449775E+002 
 8.104000000E-003  1.153449220E+001  1.992993118E+001  8.395401838E+000  1.714061211E+002 
 8.105000000E-003  1.118011055E+001  1.959745294E+001  8.417305205E+000  1.718533149E+002 
 8.106000000E-003  1.082555976E+001  1.926412194E+001  8.438524959E+000  1.722865515E+002 
 8.107000000E-003  1.047086714E+001  1.892996521E+001  8.459060799E+000  1.727058249E+002 
 8.108000000E-003  1.011606002E+001  1.859500981E+001  8.478912479E+000  1.731111301E+002 
 8.109000000E-003  9.761165647E+000  1.825928280E+001  8.498079803E+000  1.735024629E+002 
 8.110000000E-003  9.406211230E+000  1.792281125E+001  8.516562631E+000  1.738798207E+002 
 8.111000000E-003  9.051223936E+000  1.758562223E+001  8.534360872E+000  1.742432014E+002 
 8.112000000E-003  8.696230877E+000  1.724774282E+001  8.551474489E+000  1.745926044E+002 
 8.113000000E-003  8.341259117E+000  1.690920011E+001  8.567903497E+000  1.749280300E+002 
 8.114000000E-003  7.986335664E+000  1.657002115E+001  8.583647964E+000  1.752494795E+002 
 8.115000000E-003  7.631487470E+000  1.623023303E+001  8.598708007E+000  1.755569554E+002 
 8.116000000E-003  7.276741431E+000  1.588986281E+001  8.613083799E+000  1.758504612E+002 
 8.117000000E-003  6.922124382E+000  1.554893756E+001  8.626775563E+000  1.761300014E+002 
 8.118000000E-003  6.567663096E+000  1.520748431E+001  8.639783572E+000  1.763955816E+002 
 8.119000000E-003  6.213384284E+000  1.486553010E+001  8.652108154E+000  1.766472084E+002 
 8.120000000E-003  5.859314591E+000  1.452310196E+001  8.663749685E+000  1.768848897E+002 
 8.121000000E-003  5.505480596E+000  1.418022690E+001  8.674708594E+000  1.771086341E+002 
 8.122000000E-003  5.151908805E+000  1.383693190E+001  8.684985363E+000  1.773184514E+002 
 8.123000000E-003  4.798625658E+000  1.349324393E+001  8.694580521E+000  1.775143526E+002 
 8.124000000E-003  4.445657519E+000  1.314918994E+001  8.703494651E+000  1.776963494E+002 
 8.125000000E-003  4.093030677E+000  1.280479685E+001  8.711728386E+000  1.778644548E+002 
 8.126000000E-003  3.740771345E+000  1.246009155E+001  8.719282409E+000  1.780186828E+002 
 8.127000000E-003  3.388905659E+000  1.211510093E+001  8.726157455E+000  1.781590483E+002 
 8.128000000E-003  3.037459673E+000  1.176985181E+001  8.732354307E+000  1.782855674E+002 
 8.129000000E-003  2.686459358E+000  1.142437100E+001  8.737873801E+000  1.783982571E+002 
 8.130000000E-003  2.335930603E+000  1.107868527E+001  8.742716820E+000  1.784971354E+002 
 8.131000000E-003  1.985899210E+000  1.073282136E+001  8.746884298E+000  1.785822214E+002 
 8.132000000E-003  1.636390894E+000  1.038680598E+001  8.750377221E+000  1.786535352E+002 
 8.133000000E-003  1.287431280E+000  1.004066577E+001  8.753196621E+000  1.787110980E+002 
 8.134000000E-003 -8.742708596E+000  1.018354364E+001  8.742670746E+000  1.784961947E+002 
 8.135000000E-003 -8.725871980E+000  1.057097964E+001  8.725834165E+000  1.781524478E+002 
 8.136000000E-003 -8.709059690E+000  1.095841563E+001  8.709021910E+000  1.778091976E+002 
 8.137000000E-003 -8.692279793E+000  1.134585162E+001  8.692242047E+000  1.774666087E+002 
 8.138000000E-003 -8.675532226E+000  1.173328760E+001  8.675494514E+000  1.771246799E+002 
 8.139000000E-003 -8.658816927E+000  1.212072357E+001  8.658779248E+000  1.767834099E+002 
 8.140000000E-003 -8.642133833E+000  1.250815953E+001  8.642096189E+000  1.764427975E+002 
 8.141000000E-003 -8.625482883E+000  1.289559548E+001  8.625445273E+000  1.761028413E+002 
 8.142000000E-003 -8.608864014E+000  1.328303143E+001  8.608826438E+000  1.757635401E+002 
 8.143000000E-003 -8.592277166E+000  1.367046737E+001  8.592239623E+000  1.754248926E+002 
 8.144000000E-003 -8.575722276E+000  1.405790330E+001  8.575684767E+000  1.750868976E+002 
 8.145000000E-003 -8.559199282E+000  1.444533922E+001  8.559161807E+000  1.747495538E+002 
