   Time             I(L1)             V0              
 9.111000000E-003  1.280311284E+001  2.719104277E+002 
 9.112000000E-003  1.268815962E+001  2.723695531E+002 
 9.113000000E-003  1.257285074E+001  2.728209182E+002 
 9.114000000E-003  1.245719227E+001  2.732645107E+002 
 9.115000000E-003  1.234119029E+001  2.737003186E+002 
 9.116000000E-003  1.222485088E+001  2.741283301E+002 
 9.117000000E-003  1.210818013E+001  2.745485342E+002 
 9.118000000E-003  1.199118416E+001  2.749609200E+002 
 9.119000000E-003  1.187386907E+001  2.753654769E+002 
 9.120000000E-003  1.175624098E+001  2.757621951E+002 
 9.121000000E-003  1.163830602E+001  2.761510649E+002 
 9.122000000E-003  1.152007033E+001  2.765320769E+002 
 9.123000000E-003  1.140154004E+001  2.769052224E+002 
 9.124000000E-003  1.128272131E+001  2.772704929E+002 
 9.125000000E-003  1.116362030E+001  2.776278804E+002 
 9.126000000E-003  1.104424316E+001  2.779773771E+002 
 9.127000000E-003  1.092459606E+001  2.783189757E+002 
 9.128000000E-003  1.080468518E+001  2.786526695E+002 
 9.129000000E-003  1.068451669E+001  2.789784519E+002 
 9.130000000E-003  1.056409677E+001  2.792963168E+002 
 9.131000000E-003  1.044343162E+001  2.796062585E+002 
 9.132000000E-003  1.032252743E+001  2.799082718E+002 
 9.133000000E-003  1.020139038E+001  2.802023517E+002 
 9.134000000E-003  1.022603993E+001  2.800661830E+002 
 9.135000000E-003  1.032369610E+001  2.797191997E+002 
 9.136000000E-003  1.042135227E+001  2.793725389E+002 
 9.137000000E-003  1.051900844E+001  2.790263077E+002 
 9.138000000E-003  1.061666461E+001  2.786805056E+002 
 9.139000000E-003  1.071432077E+001  2.783351321E+002 
 9.140000000E-003  1.081197694E+001  2.779901866E+002 
 9.141000000E-003  1.090963311E+001  2.776456685E+002 
 9.142000000E-003  1.100728927E+001  2.773015775E+002 
 9.143000000E-003  1.110494543E+001  2.769579129E+002 
 9.144000000E-003  1.120260160E+001  2.766146742E+002 
 9.145000000E-003  1.130025776E+001  2.762718609E+002 
 9.146000000E-003  1.139791392E+001  2.759294724E+002 
 9.147000000E-003  1.149557008E+001  2.755875083E+002 
 9.148000000E-003  1.159322624E+001  2.752459679E+002 
 9.149000000E-003  1.169088240E+001  2.749048509E+002 
 9.150000000E-003  1.178853856E+001  2.745641566E+002 
 9.151000000E-003  1.188619472E+001  2.742238845E+002 
 9.152000000E-003  1.198385087E+001  2.738840341E+002 
 9.153000000E-003  1.208150703E+001  2.735446049E+002 
 9.154000000E-003  1.217916318E+001  2.732055964E+002 
 9.155000000E-003  1.227681934E+001  2.728670080E+002 
 9.156000000E-003  1.237447549E+001  2.725288392E+002 
 9.157000000E-003  1.247213164E+001  2.721910895E+002 
 9.158000000E-003  1.256978780E+001  2.718537584E+002 
 9.159000000E-003  1.266744395E+001  2.715168454E+002 
 9.160000000E-003  1.276510010E+001  2.711803499E+002 
 9.161000000E-003  1.286275625E+001  2.708442715E+002 
 9.162000000E-003  1.296041240E+001  2.705086095E+002 
 9.163000000E-003  1.305806855E+001  2.701733635E+002 
 9.164000000E-003  1.315572469E+001  2.698385330E+002 
 9.165000000E-003  1.325338084E+001  2.695041175E+002 
 9.166000000E-003  1.335103699E+001  2.691701164E+002 
 9.167000000E-003  1.344869313E+001  2.688365293E+002 
 9.168000000E-003  1.354634928E+001  2.685033555E+002 
 9.169000000E-003  1.364400542E+001  2.681705947E+002 
 9.170000000E-003  1.367184902E+001  2.681232397E+002 
 9.171000000E-003  1.355973101E+001  2.686394998E+002 
 9.172000000E-003  1.344731313E+001  2.691500174E+002 
 9.173000000E-003  1.333449940E+001  2.696528682E+002 
 9.174000000E-003  1.322129581E+001  2.701480372E+002 
 9.175000000E-003  1.310770839E+001  2.706355096E+002 
 9.176000000E-003  1.299374314E+001  2.711152713E+002 
 9.177000000E-003  1.287940609E+001  2.715873084E+002 
 9.178000000E-003  1.276470329E+001  2.720516074E+002 
 9.179000000E-003  1.264964078E+001  2.725081553E+002 
 9.180000000E-003  1.253422463E+001  2.729569393E+002 
 9.181000000E-003  1.241846091E+001  2.733979473E+002 
 9.182000000E-003  1.230235569E+001  2.738311674E+002 
 9.183000000E-003  1.218591506E+001  2.742565880E+002 
 9.184000000E-003  1.206914513E+001  2.746741980E+002 
 9.185000000E-003  1.195205199E+001  2.750839868E+002 
